Draft Class,Name,School,Position,Height,Weight,Hand Size,Arm Length,Wonderlic,40 Yard Dash,Bench Press,Vertical,Broad Jump,Shuttle,3 Cone,60Yd Shuttle,Rec,Yds,Avg,TD,YP,Games Played
2024,Devontez Walker,North Carolina,WR,73.63,193,9.13,33.25,,4.36,,40.5,134,,,,104,1744,16.8,19,3,28
2024,Malik Washington,Virginia,WR,68.63,191,9.25,30.38,,4.47,19,42.5,126,,,,230,2774,12.1,12,5,52
2024,Tahj Washington,Southern California,WR,69.88,174,8.38,29.13,,,,35,122,,,,209,3224,15.4,21,5,54
2024,Xavier Weaver,Colorado,WR,72.25,169,8.88,31.13,,,,,,,,,184,2643,14.4,12,5,50
2024,Jordan Whittington,Texas,WR,72.63,205,10,30.38,,,18,,,,,,141,1757,12.5,5,5,41
2024,Isaiah Williams,Illinois,WR,68.88,182,9.13,30.13,,4.63,17,38,123,,6.75,,214,2304,10.8,14,5,47
2024,Johnny Wilson,Florida State,WR,78.13,231,10,35.38,,4.52,,37,128,4.11,,,102,1757,17.2,8,4,31
2024,Roman Wilson,Michigan,WR,70.5,185,9.75,30.38,,4.39,12,,,,,,107,1707,16,20,4,46
2024,Xavier Worthy,Texas,WR,71.25,165,8.75,31.13,,4.21,,41,131,,,,197,2755,14,26,3,39
2023,Jordan Addison,Southern California,WR,71.13,173,8.75,30.88,,4.49,,34,122,4.23,7.16,,219,3134,14.3,29,3,35
2023,Ronnie Bell,Michigan,WR,71.63,191,9.5,31,,4.54,14,38.5,120,4.15,6.98,,145,2269,15.6,9,5,42
2023,Kayshon Boutte,Louisiana State,WR,71.25,195,9.5,31.38,,4.5,,29,118,4.25,,,131,1782,13.6,16,3,28
2023,Jalen Brooks,South Carolina,WR,73,200,9.5,34.13,,4.69,14,35,130,4.31,7.15,,58,785,13.5,2,3,24
2023,Jason Brownlee,Southern Mississippi,WR,74,198,9.75,33.75,,4.59,16,39.5,131,4.36,7.02,,,,,,,
2023,Jacob Copeland,Maryland,WR,71.25,201,8.63,31.63,,4.42,20,33,127,4.47,7.01,,112,1742,15.6,11,5,51
2023,Derius Davis,Texas Christian,WR,68.38,165,8,29.25,,4.36,,,,4.38,,,112,1513,13.5,9,5,52
2023,Nathaniel Dell,Houston,WR,68.38,165,8.63,30.5,,4.49,,,121,,,,228,3155,13.8,32,3,35
2023,Dontay Demus,Maryland,WR,75.13,212,9.75,34.25,,4.57,,35.5,123,4.39,,,128,2008,15.7,14,5,42
2023,Demario Douglas,Liberty (VA),WR,68.25,179,8.75,30.25,,4.44,11,39.5,134,4.29,7.16,,172,2193,12.8,16,4,40
2023,Josh Downs,North Carolina,WR,68.75,171,9.25,30.38,,4.48,,38.5,131,4.19,6.86,,202,2483,12.3,22,3,34
2023,Grant DuBose,North Carolina Charlotte,WR,74.38,201,9.5,31.88,,4.57,,35,125,4.32,6.89,,126,1684,13.4,15,2,24
2023,Zay Flowers,Boston College,WR,69.25,182,9.25,29.25,,4.42,,35.5,127,,,,200,3056,15.3,29,4,48
2023,Bryce Ford-Wheaton,West Virginia,WR,75.75,221,9.38,33.5,,4.38,,41,129,4.15,6.97,,143,1867,13.1,15,4,40
2023,Antoine Green,North Carolina,WR,73.75,199,9,32.13,,4.47,,33.5,123,4.27,6.99,,90,1710,19,15,5,45
2023,Jadon Haselwood,Arkansas,WR,74.25,215,10,31.25,,4.66,,37,123,4.31,6.98,,121,1440,11.9,10,4,40
2023,Malik Heath,Mississippi,WR,74.38,213,9.13,32.5,,4.64,,34,124,4.46,6.96,,131,1720,13.1,13,3,34
2023,Elijah Higgins,Stanford,WR,75,239,10.5,31.75,,4.54,16,35,126,4.54,7.01,,119,1380,11.6,6,4,28
2023,Xavier Hutchinson,Iowa State,WR,73.88,203,9.38,31.38,,4.53,12,36,116,4.35,6.91,,254,2929,11.5,15,3,37
2023,Jalin Hyatt,Tennessee,WR,72.13,184,9,32.5,,4.4,,40,135,4.37,7.17,,108,1769,16.4,19,3,35
2023,Andrei Iosivas,Princeton,WR,75.13,205,8.75,32,,4.43,19,39,128,4.12,6.85,,,,,,,
2023,Kearis Jackson,Georgia,WR,71.38,196,9.38,31.25,,4.55,,,126,,,,78,1107,14.2,4,5,53
2023,Rakim Jarrett,Maryland,WR,71.88,192,9.38,31.38,,4.44,13,35.5,123,,,,119,1552,13,10,3,28
2023,Michael Jefferson,Louisiana-Lafayette,WR,75.75,199,9.63,32.5,,4.56,16,37,133,4.56,7.03,,69,1291,18.7,11,2,26
2023,Jaray Jenkins,Louisiana State,WR,73.63,204,10,31.75,,4.6,20,29.5,,,,,89,1370,15.4,14,4,43
2023,C.J. Johnson,East Carolina (NC),WR,73.5,224,10.25,32,,,,,,,,,175,2849,16.3,21,4,46
2023,Quentin Johnston,Texas Christian,WR,74.75,208,9.63,33.63,,,,40.5,134,,,,115,2190,19,14,3,30
2023,Charlie Jones,Purdue,WR,71.38,176,9,31.63,,4.43,13,36.5,124,4.19,6.95,,149,2079,14,18,4,47
2023,Malik Knowles,Kansas State,WR,74.25,196,8.75,32.25,,,,,,,,,127,1867,14.7,14,5,50
2023,Matt Landers,Arkansas,WR,76.38,200,9.25,32.5,,4.37,,37,130,,,,79,1547,19.6,14,4,46
2023,Marvin Mims,Oklahoma,WR,70.88,183,9,31.63,,4.38,,39.5,129,,6.9,,123,2398,19.5,20,3,37
2023,Jonathan Mingo,Mississippi,WR,73.75,220,10.38,32.13,,4.46,22,39.5,129,,,,112,1758,15.7,12,4,41
2023,Jalen Moreno-Cropper,Frenso State (CA),WR,71.13,172,8.88,30.13,,4.4,,,121,,,,,,,,,
2023,Puka Nacua,Brigham Young,WR,73.63,210,9.5,31.5,,4.61,14,31.5,118,4.4,7.43,,107,1749,16.3,14,4,32
2023,Joseph Ngata,Clemson,WR,75.13,223,10.25,33.13,,4.54,14,34.5,124,4.26,7.4,,88,1287,14.6,6,4,45
